ticker,exchange_cd,date,sentiment,sentiment_high,sentiment_low,news_volume,news_buzz,name
TWTR,US,2018.7.18,0.571,3.174,-3.033,191,10,TWITTER
AAPL,MM,2018.7.18,0.714,2.359,-1.93,28,10,APPLE INC
AAPL,CI,2018.7.18,0.714,2.359,-1.93,28,10,APPLE INC
AAPL,US,2018.7.18,0.714,2.359,-1.93,28,10,APPLE INC
TWTR,US,2018.7.17,0.333,3.08,-3.413,183,9,TWITTER
AAPL,MM,2018.7.17,0.478,3.047,-3.09,23,10,APPLE INC
AAPL,CI,2018.7.17,0.478,3.047,-3.09,23,10,APPLE INC
AAPL,US,2018.7.17,0.478,3.047,-3.09,23,10,APPLE INC
TWTR,US,2018.7.16,0.564,2.885,-2.757,163,10,TWITTER
AAPL,MM,2018.7.16,2.2,4.033,0.367,20,10,APPLE INC
AAPL,CI,2018.7.16,2.2,4.033,0.367,20,10,APPLE INC
AAPL,US,2018.7.16,2.2,4.033,0.367,20,10,APPLE INC
TWTR,US,2018.7.15,1.7,3.968,-1.568,30,9,TWITTER
AAPL,MM,2018.7.15,0,0,0,0,0,APPLE INC
AAPL,CI,2018.7.15,0,0,0,0,0,APPLE INC
AAPL,US,2018.7.15,0,0,0,0,0,APPLE INC
TWTR,US,2018.7.14,0.082,2.493,-3.328,158,8,TWITTER
AAPL,MM,2018.7.14,0,0,0,0,0,APPLE INC
AAPL,CI,2018.7.14,0,0,0,0,0,APPLE INC
AAPL,US,2018.7.14,0,0,0,0,0,APPLE INC
TWTR,US,2018.7.13,0,0,0,0,0,TWITTER
AAPL,MM,2018.7.13,0,0,0,0,0,APPLE INC
AAPL,CI,2018.7.13,0,0,0,0,0,APPLE INC
AAPL,US,2018.7.13,0,0,0,0,0,APPLE INC
TWTR,US,2018.7.19,0.39,2.795,-3.015,159,9,TWITTER
AAPL,MM,2018.7.19,1.75,3.626,-1.126,12,4,APPLE INC
AAPL,CI,2018.7.19,1.75,3.626,-1.126,12,4,APPLE INC
AAPL,US,2018.7.19,1.75,3.626,-1.126,12,4,APPLE INC
AAPL,CI,2013.1.1,0.706,2.306,-1.894,17,5,APPLE INC
AAPL,CI,2013.1.2,0.229,2.186,-2.729,35,10,APPLE INC
AAPL,CI,2013.1.3,0.583,2.265,-2.098,24,6,APPLE INC
AAPL,CI,2013.1.4,1,3.368,-2.368,56,10,APPLE INC
AAPL,CI,2013.1.5,3,4.265,1.735,5,5,APPLE INC
AAPL,CI,2013.1.6,1.778,3.528,0.028,9,5,APPLE INC
AAPL,CI,2013.1.7,0.27,2.887,-3.346,37,9,APPLE INC
AAPL,CI,2013.1.8,1.116,3.36,-2.127,43,7,APPLE INC
AAPL,CI,2013.1.9,0.417,2.604,-2.771,48,8,APPLE INC
AAPL,CI,2013.1.10,1.426,3.72,-1.869,47,8,APPLE INC
AAPL,CI,2013.1.11,0.452,2.294,-2.389,42,7,APPLE INC
AAPL,CI,2013.1.12,1.833,3.047,0.62,6,5,APPLE INC
AAPL,CI,2013.1.13,0.5,1.366,-1.366,4,5,APPLE INC
AAPL,CI,2013.1.14,-1.489,1.727,-3.704,88,10,APPLE INC
AAPL,CI,2013.1.15,0.159,2.249,-2.93,69,7,APPLE INC
AAPL,CI,2013.1.16,0.122,1.687,-2.443,41,4,APPLE INC
AAPL,CI,2013.1.17,1.17,3.139,-1.799,53,6,APPLE INC
AAPL,CI,2013.1.18,0.471,2.749,-2.808,34,3,APPLE INC
AAPL,CI,2013.1.19,0.143,2.242,-2.957,7,2,APPLE INC
AAPL,CI,2013.1.20,0.333,0.805,-1.138,3,2,APPLE INC
AAPL,CI,2013.1.21,0.2,2.19,-2.79,10,2,APPLE INC
AAPL,CI,2013.1.22,0.623,2.577,-2.332,53,7,APPLE INC
AAPL,CI,2013.1.23,0.577,2.966,-2.812,78,10,APPLE INC
AAPL,CI,2013.1.24,0.09,2.691,-3.511,155,10,APPLE INC
AAPL,CI,2013.1.25,1.173,3.394,-2.048,81,5,APPLE INC
AAPL,CI,2013.1.26,0.222,2.371,-2.927,9,3,APPLE INC
AAPL,CI,2013.1.27,-2.5,-2,-3,2,2,APPLE INC
AAPL,CI,2013.1.28,1.235,3.575,-2.104,34,2,APPLE INC
AAPL,CI,2013.1.29,0.925,2.705,-1.855,40,2,APPLE INC
AAPL,CI,2013.1.30,1.129,3.735,-2.477,62,4,APPLE INC
AAPL,CI,2013.1.31,0.512,2.798,-2.775,43,2,APPLE INC
AAPL,CI,2013.2.1,1.806,3.845,-1.232,31,3,APPLE INC
AAPL,CI,2013.2.2,0.1,2.648,-3.448,10,4,APPLE INC
AAPL,CI,2013.2.3,1.8,3.739,-1.139,5,4,APPLE INC
AAPL,CI,2013.2.4,-1.348,1.665,-3.361,23,6,APPLE INC
AAPL,CI,2013.2.5,0.5,2.486,-2.486,26,4,APPLE INC
